교량명,부재명,부재위치,번 호,신/구,손상내용,"균열폭
(㎜)","길이
(m)","너비
(m)",개소,단위,"결함
상태",손상물량,비고,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
암정교,교면포장,S1,1,구,포장면 균열,,25.0,,1,m,,25.0,보수완료,,,6.8,18.2
암정교,교면포장,S1,2,구,포장면 균열,,2.0,,2,m,,4.0,보수완료,,,,
암정교,교면포장,S1,3,구,포장면 균열,,1.0,,1,m,,1.0,보수완료,,,,
암정교,교면포장,S1,4,구,포장면 균열,,2.0,,1,m,,2.0,보수완료,,,,
암정교,교면포장,S1,5,구,포장면 균열,,25.0,,1,m,,25.0,보수완료,,,,
암정교,교면포장,S1,6,구,포장면 망상균열,,2.0,1.5,1,㎡,,3.0,보수완료,,,,
암정교,난간 및 연석,S1,7,구,교명주 기초 파손,,2.8,0.5,1,㎡,,1.4,보수완료,,,,
암정교,신축이음,S1,8,구,유간토사퇴적,,8.8,,1,m,,8.8,,,,,
암정교,난간 및 연석,S1,9,구,차수판 설치불량,,,,2,EA,,2.0,,,,,
암정교,신축이음,S1,10,구,후타재 균열,0.2,0.2,,28,m,,5.6,보수완료,,,,
암정교,접속부,S1,11,구,접속부 포장 망상균열,,8.8,0.5,1,㎡,,4.4,보수완료,,,,
암정교,교면포장,S1,12,구,토사퇴적,,25.0,1.0,2,㎡,,50.0,보수완료,,,,
암정교,배수시설,S1,13,구,배수구 막힘,,,,2,EA,,2.0,보수완료,,,,
암정교,교면포장,S1,14,구,포장면 망상균열,,1.0,1.5,1,㎡,,1.5,보수완료,,,,
암정교,교면포장,S1,15,구,포장면 균열,,3.0,,1,m,,3.0,보수완료,,,,
암정교,교면포장,S1,16,구,포장면 균열,,4.0,,1,m,,4.0,보수완료,,,,
암정교,배수시설,S1,17,구,배수구 막힘,,,,2,EA,,2.0,보수완료,,,,
암정교,교면포장,S1,18,구,패임,,0.5,0.6,1,㎡,,0.3,보수완료,,,,
암정교,교면포장,S1,19,구,포장면 망상균열,,25.0,8.0,1,㎡,,200.0,보수완료,,,,
암정교,교면포장,S1,20,구,보도부 포장면 들뜸,,15.0,1.2,2,㎡,,36.0,보수완료,,,,
암정교,난간 및 연석,S1,21,신,교명주 기초 파손,,0.5,2.8,1,㎡,,1.4,,,,,
암정교,난간 및 연석,S1,22,신,박리,,0.2,0.5,1,㎡,,0.1,,,,,
암정교,난간 및 연석,S1,23,신,박리,,0.2,0.2,1,㎡,,0.04,,,,,
암정교,신축이음,S1,24,신,후타재 균열,0.2,0.3,,5,m,,1.5,,,,,
암정교,교면포장,S2,1,구,포장면 균열,,30.0,,1,m,,30.0,보수완료,,,,
암정교,교면포장,S2,2,구,포장면 균열,,0.5,,6,m,,3.0,보수완료,,,,
암정교,교면포장,S2,3,구,토사퇴적,,30.0,1.0,2,㎡,,60.0,보수완료,,,,
암정교,배수시설,S2,4,구,배수구 막힘,,,,2,EA,,2.0,보수완료,,,,
암정교,교면포장,S2,5,구,포장면 망상균열,,20.0,1.5,1,㎡,,30.0,보수완료,,,,
암정교,교면포장,S2,6,구,포장면 망상균열,,15.0,1.5,1,㎡,,22.5,보수완료,,,,
암정교,교면포장,S2,7,구,포장면 균열,,13.0,,1,m,,13.0,보수완료,,,,
암정교,배수시설,S2,8,구,배수구 막힘,,,,1,EA,,1.0,보수완료,,,,
암정교,배수시설,S2,9,구,배수구 막힘,,,,1,EA,,1.0,보수완료,,,,
암정교,교면포장,S2,10,구,패임,,0.2,0.2,1,㎡,,0.04,보수완료,,,,
암정교,교면포장,S2,11,구,포장면 망상균열,,30.0,8.0,1,㎡,,240.0,보수완료,,,,
암정교,난간 및 연석,S2,12,신,박리,,0.2,0.6,1,㎡,,0.12,,,,,
암정교,난간 및 연석,S2,13,신,박리,,0.2,0.4,1,㎡,,0.08,,,,,
암정교,교면포장,S3,1,구,포장면 균열,,30.0,,1,m,,30.0,보수완료,,,,
암정교,교면포장,S3,2,구,포장면 망상균열,,15.0,2.0,1,㎡,,30.0,보수완료,,,,
암정교,교면포장,S3,3,구,토사퇴적,,30.0,1.0,2,㎡,,60.0,보수완료,,,,
